id,sphere_id,name
1,1,Персонализированный магазин одежды через ИИ
2,1,Подписочный сервис для товаров повседневного спроса
3,1,AR-примерочная для мебели и декора
4,1,Групповой шоппинг-дил
5,1,Curated-box маркетплейс для подарков
6,2,Личные финансы для фрилансеров
7,2,Управление подписками и автоплатежами
8,2,Финансовая платформа для подростков
9,2,Приложение для совместных расходов
10,3,Игра с элементами NFT для коллекционирования
11,3,«MysteryChat» – AI-детектив в мессенджере
12,3,Мобильная головоломка с ИИ-генерацией уровней
13,3,Социальная дедукция в микросессиях
